Customer ID,Cluster Demo,recency,frequency,monetary,segment_overall_scoring,RFM_cluster
HH-15010,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",72.0,6,218.668,C,Recent Customer
DJ-13420,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",637.0,5,2012.5200000000002,C,Lost Cheap Customer
AD-10180,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",29.0,12,6106.879999999999,B,Recent Customer
AG-10675,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",97.0,15,3489.0396,B,Recent Customer
CP-12340,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",160.0,15,5888.275000000001,B,Recent Customer
SC-20575,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",92.0,7,902.7280000000001,C,Recent Customer
ML-18265,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",100.0,3,162.232,C,Recent Customer
PB-19105,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",57.0,5,688.3240000000001,C,Recent Customer
RD-19480,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",72.0,15,4272.93,B,Recent Customer
SZ-20035,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",35.0,20,3625.3289999999997,A,Others
GB-14575,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",13.0,16,4716.2880000000005,B,Recent Customer
PT-19090,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",71.0,7,160.57199999999997,C,Recent Customer
JK-16120,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",117.0,17,2932.4840000000004,B,Recent Customer
KD-16615,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",289.0,13,2243.5099999999998,C,Almost Lost
RB-19435,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",19.0,16,2663.0860000000002,B,Recent Customer
KM-16225,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",14.0,19,2260.9579999999996,B,Others
AH-10120,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",60.0,16,1735.5140000000001,B,Recent Customer
KH-16630,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",58.0,17,3918.966,B,Recent Customer
JF-15355,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",105.0,16,1911.8440000000003,B,Recent Customer
SG-20080,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",8.0,11,3406.5810000000006,B,Recent Customer
MG-17890,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",99.0,13,776.384,B,Recent Customer
CR-12625,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",470.0,4,475.9000000000001,C,Almost Lost
AA-10375,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",19.0,15,1056.39,B,Recent Customer
KT-16465,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",391.0,14,3057.0999999999995,B,Others
SB-20290,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",47.0,17,8057.890999999997,A,Others
AT-10735,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",13.0,16,3831.8640000000005,B,Recent Customer
MS-17830,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",452.0,5,370.34799999999996,C,Almost Lost
AG-10900,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",96.0,21,4510.7970000000005,A,Others
SC-20770,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",41.0,21,4492.657,A,Others
BT-11530,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",91.0,10,2684.492,C,Recent Customer
FM-14290,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",36.0,20,3736.1979999999994,A,Others
NG-18430,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",48.0,9,1395.938,C,Recent Customer
KW-16435,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",96.0,10,4416.52,B,Recent Customer
DD-13570,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",41.0,9,269.54200000000003,C,Recent Customer
SA-20830,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",63.0,21,4767.3415,A,Others
DP-13000,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",126.0,17,1050.636,B,Recent Customer
DK-13090,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",42.0,13,2650.557,B,Recent Customer
DV-13045,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",19.0,9,1119.4830000000004,C,Recent Customer
TC-21145,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",106.0,4,1038.26,C,Recent Customer
JD-15895,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",394.0,32,7610.864,A,Others
RB-19330,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",68.0,6,1008.1959999999999,C,Recent Customer
CS-11845,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",91.0,8,1278.954,C,Recent Customer
SF-20200,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",59.0,15,3422.786,B,Recent Customer
DA-13450,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",352.0,8,156.76,C,Almost Lost
PC-18745,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",2.0,5,1832.064,C,Recent Customer
ON-18715,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",410.0,15,1567.52,C,Almost Lost
EN-13780,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",287.0,9,2199.366,C,Almost Lost
DK-12985,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",7.0,8,1687.04,C,Recent Customer
RM-19675,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",6.0,11,5979.0960000000005,B,Recent Customer
SV-20785,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",320.0,25,4105.304999999999,B,Loyal Customer
DK-13375,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",19.0,23,3318.4859999999994,A,Others
JK-15205,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",61.0,13,4427.142000000001,B,Recent Customer
AC-10420,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",232.0,5,925.8000000000002,C,Almost Lost
JC-16105,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",57.0,9,858.576,C,Recent Customer
SK-19990,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",8.0,5,883.409,C,Recent Customer
JM-15655,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",8.0,12,864.9470000000001,B,Recent Customer
JP-15460,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",37.0,15,1669.1350000000002,B,Recent Customer
MC-18100,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",41.0,19,2218.9800000000005,B,Others
JF-15415,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",2.0,14,2371.448,B,Recent Customer
EB-13750,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",35.0,20,3236.3139999999994,A,Others
BF-11005,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",39.0,10,1333.88,C,Recent Customer
AB-10255,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",166.0,14,914.532,B,Recent Customer
MW-18220,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",17.0,14,5341.900000000001,B,Recent Customer
CS-12130,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",489.0,7,884.6400000000001,C,Almost Lost
JG-15115,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",758.0,7,2358.676,C,Lost Cheap Customer
TA-21385,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",69.0,10,14595.62,B,Others
PO-18850,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",4.0,22,7473.828200000002,A,Best Customer
JK-15625,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",61.0,12,3760.028,B,Recent Customer
CC-12550,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",27.0,4,113.832,C,Recent Customer
ND-18370,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",27.0,18,4326.139,B,Recent Customer
KB-16585,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",230.0,23,2744.742,B,Loyal Customer
DR-12880,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",3.0,24,6528.034,A,Others
RH-19555,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",519.0,3,740.382,C,Almost Lost
BD-11500,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",35.0,10,4411.243,B,Recent Customer
JS-16030,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",28.0,18,2516.4939999999997,B,Recent Customer
MH-17620,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",155.0,6,1252.8000000000002,C,Recent Customer
RB-19465,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",9.0,23,4715.466000000001,A,Others
NL-18310,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",58.0,10,1418.0900000000004,C,Recent Customer
TG-21310,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",337.0,9,3058.3720000000003,C,Almost Lost
PL-18925,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",15.0,8,239.48100000000005,C,Recent Customer
SW-20350,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",162.0,6,1019.0439999999999,C,Recent Customer
BS-11590,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",35.0,10,2454.928000000001,C,Recent Customer
SR-20740,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",196.0,12,4345.8859999999995,B,Recent Customer
KF-16285,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",97.0,18,10604.266,A,Others
NG-18355,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",48.0,16,1869.58,B,Recent Customer
HK-14890,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",151.0,15,4877.784,B,Recent Customer
CD-12280,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",42.0,13,1205.5840000000003,B,Recent Customer
SP-20650,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",386.0,15,1872.4360000000001,C,Almost Lost
LC-17050,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",54.0,9,2095.064,C,Recent Customer
NS-18640,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",174.0,26,2964.8229999999994,A,Others
SC-20260,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",187.0,18,3729.7929999999997,B,Recent Customer
VP-21760,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",75.0,14,3360.526,B,Recent Customer
AP-10915,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",98.0,31,3323.556,A,Others
DM-13345,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",22.0,13,4074.472000000001,B,Recent Customer
PA-19060,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",103.0,7,729.4080000000001,C,Recent Customer
RB-19705,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",54.0,7,2067.45,C,Recent Customer
AB-10165,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",25.0,14,1113.8380000000002,B,Recent Customer
RE-19450,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",302.0,9,876.696,C,Almost Lost
OT-18730,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",65.0,10,3818.6240000000003,B,Recent Customer
MS-17770,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",121.0,19,3144.678,A,Others
TB-21355,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",146.0,13,834.328,B,Recent Customer
NH-18610,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",189.0,11,2673.2899999999995,B,Recent Customer
MF-18250,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",7.0,12,1758.3,B,Recent Customer
JM-15865,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",109.0,13,7625.076000000002,A,Others
JB-16000,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",43.0,7,644.1188,C,Recent Customer
JW-15220,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",42.0,14,7721.714,A,Others
CK-12205,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",39.0,32,3154.855,A,Others
EB-13930,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",161.0,7,944.5999999999999,C,Recent Customer
GP-14740,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",765.0,5,236.53,C,Lost Cheap Customer
RH-19495,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",32.0,8,3621.3759999999997,B,Recent Customer
LS-16975,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",20.0,22,2988.674,A,Others
AS-10135,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",41.0,3,58.82,C,Recent Customer
BP-11050,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",83.0,7,983.4199999999998,C,Recent Customer
DW-13585,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",242.0,10,1204.854,C,Almost Lost
BN-11470,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",24.0,6,265.296,C,Recent Customer
TB-21400,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",202.0,17,9133.99,A,Others
BD-11605,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",97.0,20,3288.471,A,Others
LA-16780,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",154.0,26,8673.221999999998,A,Best Customer
KS-16300,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",295.0,4,88.47200000000001,C,Almost Lost
SC-20380,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",30.0,20,5992.535999999999,A,Others
JW-15955,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",5.0,11,1244.086,B,Recent Customer
AF-10885,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",415.0,7,861.5649999999999,C,Almost Lost
RR-19315,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",19.0,4,615.932,C,Recent Customer
MC-17605,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",112.0,18,2258.192,B,Recent Customer
MT-17815,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",49.0,10,2890.139,B,Recent Customer
CA-12775,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",120.0,17,3041.566,B,Recent Customer
LW-17125,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",205.0,5,1259.04,C,Recent Customer
FG-14260,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",34.0,11,1383.1440000000002,B,Recent Customer
Dp-13240,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",84.0,29,7198.760999999999,A,Best Customer
SG-20890,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",226.0,5,47.946,C,Almost Lost
BD-11560,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",278.0,4,320.53999999999996,C,Almost Lost
JM-15265,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",37.0,13,1804.1460000000002,B,Recent Customer
SU-20665,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",20.0,18,2595.3640000000005,B,Recent Customer
YC-21895,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",4.0,8,5454.35,B,Recent Customer
JO-15550,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",215.0,11,1090.8380000000002,C,Almost Lost
LC-16960,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",436.0,7,3246.626,C,Almost Lost
BD-11770,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",327.0,10,658.4660000000001,C,Almost Lost
TT-21070,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",31.0,14,4915.602,B,Recent Customer
DB-13405,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",187.0,14,1711.692,B,Recent Customer
TD-20995,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",37.0,16,1434.548,B,Recent Customer
BE-11410,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",98.0,5,2261.438,C,Recent Customer
JF-15295,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",225.0,14,955.1240000000003,C,Almost Lost
LH-17020,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",239.0,6,318.23900000000003,C,Almost Lost
MH-17290,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",119.0,13,2394.0249999999996,B,Recent Customer
SC-20020,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",781.0,17,3362.963599999999,C,Lost Customer
BK-11260,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",77.0,16,659.138,B,Recent Customer
SN-20710,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",79.0,19,3127.9592000000007,A,Others
PR-18880,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",36.0,12,1840.1779999999999,B,Recent Customer
PN-18775,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",30.0,13,1467.1519999999998,B,Recent Customer
CM-12385,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",37.0,10,8954.02,B,Others
PO-19180,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",160.0,18,4893.043000000001,B,Recent Customer
DO-13645,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",26.0,11,1267.316,B,Recent Customer
RD-19810,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",14.0,16,1137.6159999999998,B,Recent Customer
SC-20095,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",349.0,22,14142.333999999999,A,Others
AC-10450,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",11.0,9,5527.8460000000005,B,Recent Customer
EM-14140,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",48.0,21,4588.436,A,Others
KM-16660,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",15.0,9,453.538,C,Recent Customer
NP-18685,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",406.0,7,1228.698,C,Almost Lost
LR-16915,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",26.0,16,5142.892,B,Recent Customer
